Acceleration,Pressure,Temperature,Altitude
99.35301168,940.72244526,18945.8333336,2039.93072942
99.18875304,941.32864488,18716.6666669,2022.36081257
99.11835648,940.8313317,18718.7500003,2036.77412058
98.87196852,940.97097978,18760.4166669,2032.7261673
99.23568408,940.67312898,18764.5833336,2041.36050162
100.15083936,940.94388024,18729.1666669,2033.51165866
99.36474444,941.03543274,18554.166667,2030.85804523
101.05426188,941.13870396,18475.0000003,2027.86502017
92.99385576,940.71365622,18112.5000004,2040.18553586
95.02362324,940.77298224,17941.6666671,2038.46562979
90.47131236,940.75003308,17725.0000004,2039.13093283
115.79060844,941.06302056,17525.0000005,2030.05846404
97.62829596,941.20095966,17318.7500005,2026.06084276
91.17527796,941.06839164,17081.2500005,2029.90279558
104.8322106,940.85306016,16958.3333339,2036.14424974
116.52977232,941.27371338,16741.6666673,2023.95255395
98.86023576,940.8240075,16529.1666673,2036.98643925
95.35214052,940.89920262,16379.1666673,2034.80669791
99.38820996,941.1255204,16229.1666673,2028.24709367
102.63818448,940.67410554,16216.6666673,2041.33218871
100.2564342,941.0278644,16185.4166673,2031.07740268
99.04795992,940.61136156,16241.6666673,2043.15134152
103.90532256,940.93411464,16145.833334,2033.79472309
95.51639916,941.0107746,16158.333334,2031.57273121
94.81243356,940.59231864,16185.4166673,2043.70347738
96.46675272,941.05862604,16218.7500007,2030.18582969
96.00917508,940.68753324,16220.833334,2040.94288861
99.69326172,940.70608788,16164.583334,2040.40495407
97.27631316,941.1328446,16152.083334,2028.03483008
47.15396244,940.74490614,15968.7500007,2039.27956616
102.5443224,940.79910522,15766.6666674,2037.70833274
87.78451032,941.45925978,15639.5833341,2018.57630731
106.5334608,941.0559405,15504.1666674,2030.26366449
114.03069444,941.17386012,15406.2500008,2026.8461787
87.16267404,941.63235504,15322.9166675,2013.56160858
108.45763344,941.2634595,15231.2500008,2024.24968734
120.40158312,941.44363482,15141.6666675,2019.02901079
82.99754424,941.57327316,15018.7500009,2015.27317078
88.9929846,941.94436596,15085.4166675,2004.52430464
92.65360572,942.21780276,14929.1666675,1996.60628138
101.03079636,942.10598664,14889.5833342,1999.84396243
115.42689288,942.29592756,14783.3333342,1994.34433077
84.33507888,942.27371082,14700.0000009,1994.98755752
98.64904608,942.52883712,14710.4166676,1987.60179155
120.80049696,942.33010716,14604.1666676,1993.35477513
133.35455016,942.41726514,14575.0000009,1990.83153977
100.0804428,942.61990134,14508.3333343,1984.96592452
73.64653452,942.96169734,14450.000001,1975.07442878
116.18952228,943.28347386,14289.5833343,1965.76494477
85.03904448,943.22951892,14312.500001,1967.32576377
77.0255694,943.23318102,14233.3333343,1967.21982354
79.23132828,943.16848392,14147.9166677,1969.09148327
100.0804428,943.4216571,14181.250001,1961.76788274
99.68152896,943.58254536,14072.9166677,1957.11465687
87.02188092,943.4607195,14018.750001,1960.63805715
102.79071036,943.45901052,13993.750001,1960.68748623
94.95322668,943.31447964,13927.0833344,1964.86803624
96.54888204,943.2898215,13956.250001,1965.58132376
100.4324256,943.35671586,13879.1666677,1963.64630161
99.76365828,943.40139348,13877.0833344,1962.35399468
99.59939964,943.41164736,13877.0833344,1962.05740664
86.98668264,943.38161814,13808.3333344,1962.92599327
100.76094288,943.19900142,13762.5000011,1968.20861196
101.62916712,943.6450452,13702.0833344,1955.30720369
103.31868456,943.52517246,13666.6666677,1958.77392775
115.40342736,943.68142206,13593.7500011,1954.25525408
94.6833732,943.58108052,13570.8333344,1957.15702022
97.83948564,943.44875664,13500.0000011,1960.98406221
82.02372516,943.18777098,13466.6666678,1968.53350591
115.37996184,943.41872742,13354.1666678,1961.85262118
112.23558216,943.7036388,13277.0833345,1953.61280437
120.41331588,943.2934836,13260.4166678,1965.47538901
105.9468228,943.2629661,13166.6666678,1966.35818872
104.44502952,943.24392318,13027.0833345,1966.90906746
105.09033132,943.4900163,13020.8333345,1959.79071282
108.19951272,943.75319922,12941.6666679,1952.17969144
93.89727828,943.64699832,12883.3333345,1955.25072234
95.59852848,943.6072035,12772.9166679,1956.40154853
111.43775448,943.5058854,12675.0000012,1959.33174354
109.701306,943.85842356,12650.0000012,1949.13717586
90.9875538,943.66530882,12585.4166679,1954.72121429
108.51629724,943.59353166,12477.0833346,1956.79693347
85.08597552,943.5229752,12406.2500013,1958.83747592
96.72487344,943.5010026,12414.5833346,1959.47296419
98.2032012,943.53860016,12427.0833346,1958.38558043
